x	u
                  -8	7.466882690851384e-05
               -7.75	0.0001425528094782247
             -7.6875	0.0001667241658587226
              -7.625	0.0001946031516114333
                -7.5	0.0002635262384408921
             -7.4375	0.0003057362279809961
              -7.375	0.0003539943043222027
             -7.1875	0.0005428620047805699
             -6.9375	0.0009333443989548093
               -6.75	0.001372162823594741
             -6.6875	 0.00155402275816522
                  -6	0.005364922562898595
             -5.9375	0.005935322609093787
               -5.25	 0.01598174076995344
              -4.875	 0.02513297991914626
               -4.75	 0.02886175654740298
              -4.625	 0.03294739191195727
              -3.625	 0.07876906269083296
             -3.5625	 0.08238451615705501
                -3.5	 0.08608228292828556
             -3.3125	  0.0976550049154932
               -3.25	  0.1016673208760115
             -3.1875	  0.1057543773893481
                  -3	  0.1184476298490877
               -2.25	  0.1748983101641889
             -1.3125	  0.2549683496561134
             -0.6875	  0.3118233307407702
             -0.4375	  0.3348235251923484
             -0.0625	  0.3688658293031565
               0.125	  0.3852588264150161
              0.4375	  0.4103585771000046
              0.6875	  0.4264870365444138
                0.75	   0.429606766059545
               0.875	  0.4342883870632015
               1.375	  0.4168803246774094
                 1.5	  0.3982918519627625
                1.75	  0.3385929277182183
               2.125	  0.2089008436365309
              2.3125	  0.1455094344358996
               2.625	 0.06832772315157165
              2.8125	 0.04046878468350565
              2.9375	 0.02792875761558834
              3.0625	 0.01900419480533401
               3.375	0.006908667128092516
              3.5625	 0.00366185591846635
              3.8125	0.001528892262599155
                4.25	0.0003107954402769841
                 4.5	0.0001210337094177255
               4.875	2.829152154917164e-05
                   5	1.726608592728107e-05
              5.0625	1.346743362113517e-05
              5.1875	8.169670279736807e-06
              5.3125	4.940013363610718e-06
              5.4375	2.982062196007357e-06
               5.625	1.407642696796968e-06
              5.6875	1.103732790608269e-06
                5.75	8.727299831423618e-07
              5.8125	6.991224256805428e-07
                   6	4.229470984429967e-07
              6.0625	3.903813529746586e-07
                6.25	4.30880615425247e-07
                 6.5	8.228387436345908e-07
              6.6875	1.49710087296584e-06
              6.8125	2.244066413421841e-06
               6.875	2.744286191291856e-06
                   7	4.084322066104373e-06
              7.1875	7.317228935009579e-06
                7.75	3.787461811873699e-05
              7.9375	6.320391676995982e-05
