x	u0	u1
                 -30	-3.122103105462903e-06	-5.080446619003254e-06
         -29.8828125	-3.016856024676273e-06	2.268241786899244e-06
          -29.765625	-4.566978696912694e-06	3.008522098724153e-06
         -29.6484375	-4.880820225724655e-06	6.857582805996909e-06
           -29.53125	-4.972500417791195e-06	7.265782143724142e-06
         -29.4140625	-4.405621228852075e-06	9.367284578953861e-06
          -29.296875	-4.379605733038916e-07	9.626333078214741e-06
         -29.1796875	4.439153552263098e-06	1.308988905177749e-05
            -29.0625	5.391707381988478e-06	9.60097424226522e-06
         -28.9453125	2.284933948954598e-06	7.247888114101514e-06
          -28.828125	3.028189719743793e-06	2.968782632643482e-06
         -28.7109375	8.731911264088163e-06	2.306100803411287e-06
           -28.59375	1.105223082043319e-05	-1.252686615944854e-06
         -28.4765625	1.035134792000403e-05	2.014418327481865e-06
          -28.359375	1.023177672368827e-05	5.519522771790103e-06
         -28.2421875	1.080163878784332e-05	5.378495819592308e-06
             -28.125	1.008882125437538e-05	-1.826474147297724e-06
         -28.0078125	5.590734989357332e-06	8.952124259647282e-07
          -27.890625	2.649027183131147e-07	-1.614532120690002e-06
         -27.7734375	-2.09368507096859e-06	-2.100393704558209e-06
           -27.65625	-3.146068744394603e-06	-6.237835185537999e-08
         -27.5390625	-4.135968867141626e-06	8.277860674022613e-07
          -27.421875	-3.053528834503355e-06	-2.431835196357174e-06
         -27.3046875	-2.662086568173266e-06	-6.894660946471509e-07
            -27.1875	-7.10232324072687e-06	-5.398651606278691e-06
         -27.0703125	-1.118625729461774e-05	-3.633103549983106e-06
          -26.953125	-1.412472560623646e-05	-4.670825407073441e-06
         -26.8359375	-1.341629473246547e-05	-7.083636814488904e-06
           -26.71875	-7.029180082267217e-06	-1.086952126188537e-05
         -26.6015625	-5.262456876651764e-06	-1.276109067527287e-05
          -26.484375	-7.728449869915874e-06	-1.903114932144071e-05
         -26.3671875	-6.759492233736689e-06	-1.502552271716914e-05
              -26.25	-7.34551018621854e-06	-1.391541442227751e-05
         -26.1328125	-7.480755169833597e-06	-1.465627094615618e-05
          -26.015625	-5.05725120605871e-06	-1.464650854028637e-05
         -25.8984375	-5.029942155287959e-06	-9.009257480818711e-06
           -25.78125	-6.16549283138923e-06	-8.589181084220354e-06
         -25.6640625	-9.866488154389175e-06	-4.06216275293525e-06
          -25.546875	-1.500577793646374e-05	-3.176050532682773e-06
         -25.4296875	-1.245834067632734e-05	-1.49545882111024e-06
            -25.3125	-1.137898283137817e-05	2.69084311915746e-07
         -25.1953125	-1.160027093731475e-05	7.924049816865342e-06
          -25.078125	-6.586486846579809e-06	6.836285623673666e-06
         -24.9609375	-3.767078825642201e-06	6.373946923210472e-06
           -24.84375	1.880826690212056e-06	4.012931598545988e-06
         -24.7265625	8.744841011404381e-06	2.524070938175749e-06
          -24.609375	7.032112633392762e-06	-1.410839601562186e-06
         -24.4921875	8.375690506406963e-06	-5.355972803877673e-07
             -24.375	1.102553402466955e-05	-5.494467468988851e-07
         -24.2578125	8.954907299969783e-06	2.638882427713485e-06
          -24.140625	9.161674345246895e-06	-7.39944243099977e-07
         -24.0234375	8.513066359801258e-06	6.369116315393941e-07
           -23.90625	1.970106632998014e-06	-1.176513592576756e-06
         -23.7890625	-1.310544832940075e-06	-8.124527059172326e-07
          -23.671875	1.051755492767481e-06	2.065591342623185e-06
         -23.5546875	5.405551703092926e-06	7.512698261914752e-06
            -23.4375	5.767771179089609e-06	5.991095219606835e-06
         -23.3203125	9.53914316894483e-07	8.807090024653963e-06
          -23.203125	-1.309764659437884e-06	5.486176862849745e-06
         -23.0859375	-1.137188897205182e-06	7.863996270840445e-07
           -22.96875	-3.431121008300522e-06	-1.825213524245597e-06
         -22.8515625	-1.685311182894958e-06	2.003490525094923e-06
          -22.734375	1.067883774446415e-06	1.088722982867801e-06
         -22.6171875	2.962316030511239e-06	6.37288690171281e-06
               -22.5	4.644342612060079e-06	8.332638737641555e-06
         -22.3828125	2.541655312547283e-06	8.826670073625899e-06
          -22.265625	2.890990461815179e-06	6.808585826356683e-06
         -22.1484375	8.23964814967125e-06	6.729562071252845e-06
           -22.03125	7.964771801389353e-06	1.589613844912158e-07
         -21.9140625	5.814738321468019e-06	-2.202275274905061e-06
          -21.796875	6.541523206719801e-06	-1.810661660467394e-06
         -21.6796875	5.337624094756133e-06	-1.459964513188597e-06
            -21.5625	-2.073617109910053e-06	-1.143811954137236e-05
         -21.4453125	-7.29432197578081e-06	-9.667567080515888e-06
          -21.328125	-5.017384205198427e-06	-5.753506345306664e-06
         -21.2109375	-5.168907463173888e-06	-5.951194317520975e-06
           -21.09375	-9.163398245231463e-06	-5.320939261213575e-06
         -20.9765625	-6.991003333844947e-06	-1.199885591864069e-06
          -20.859375	-4.951415268010517e-06	-3.123647704619814e-06
         -20.7421875	-4.188907238224238e-06	3.023635574556094e-07
             -20.625	-2.424723791645544e-06	-3.342845121344362e-06
         -20.5078125	-4.659891472129363e-06	-1.707797550085099e-06
          -20.390625	-7.750129370980019e-06	9.11037775164214e-07
         -20.2734375	-5.639030203681561e-06	-1.815063931140393e-06
           -20.15625	-2.979428415934848e-06	-7.698066893768729e-06
         -20.0390625	-3.140524226244445e-06	-5.609629372682612e-06
          -19.921875	-5.59860024448855e-06	-5.270695646014678e-06
         -19.8046875	-3.70540482357018e-06	-2.002210826523854e-06
            -19.6875	-9.077341203145295e-07	-4.17259864048114e-06
         -19.5703125	-1.440843985844875e-06	-1.371167709929288e-06
          -19.453125	-3.402579487887802e-07	1.062876757385034e-06
         -19.3359375	-2.667701055614202e-07	1.155013409373518e-06
           -19.21875	-3.131169447653792e-06	-4.394107553540305e-06
