x	u
           -4.921875	(0.006933704145861697+0.0587458196788746j)
         -4.82421875	(0.00681533557650793+0.05933525980348908j)
         -4.35546875	(0.007395454892595792+0.0671876638899861j)
           -4.140625	(0.008960955852559072+0.0754151547058005j)
            -3.59375	(0.023296552360630142+0.11483462198097462j)
         -3.53515625	(0.025336196823687346+0.12074392630453537j)
                -2.5	(0.08973643085098915+0.29575475369937954j)
         -2.40234375	(0.09994696733948916+0.3227575640345711j)
         -2.32421875	(0.1089512362334576+0.34600924155814705j)
         -2.20703125	(0.12408385570228048+0.3826735071561641j)
            -2.03125	(0.14996989836298988+0.44150673902177656j)
           -1.953125	(0.16293329256839545+0.46853493966908444j)
         -1.73828125	(0.20627611243073501+0.5430006219973048j)
          -1.4453125	(0.2889392458402451+0.6230625340484124j)
         -1.38671875	(0.3101437269744176+0.6321621285100012j)
         -0.95703125	(0.5502810984167528+0.5289538620576212j)
         -0.76171875	(0.7461516885951468+0.30149180273496456j)
          -0.7421875	(0.7708234325313682+0.2686589029265281j)
           -0.546875	(1.0926449647698777-0.19486585011762342j)
          0.13671875	(2.2331001413328244-1.980163147237398j)
           0.4296875	(1.3685736977442984-0.6170659573712851j)
           0.5078125	(1.1768592863461098-0.32241317658354784j)
          0.95703125	(0.5502810984167503+0.5289538620576275j)
           1.0546875	(0.4783120993308736+0.5891301996415249j)
          1.19140625	(0.3969190458925044+0.6311264282142861j)
          1.38671875	(0.3101437269744175+0.6321621285100019j)
              1.5625	(0.2517272519546943+0.5960833805818004j)
          1.62109375	(0.23532183401578768+0.5795804255221546j)
            1.640625	(0.23015207563510487+0.5738244280814462j)
           1.6796875	(0.2202745005687517+0.5618642395495139j)
           2.1484375	(0.13228967246049494+0.4019956926925652j)
           2.2265625	(0.12143411154765438+0.376385617859585j)
            2.265625	(0.11632067025339997+0.364018558370353j)
          2.32421875	(0.10895123623345679+0.34600924155814544j)
           2.4609375	(0.09366784950578652+0.30622739633420615j)
          2.48046875	(0.09169070803945287+0.30092939332400276j)
          2.67578125	(0.07379271446147329+0.2534834410179527j)
          2.83203125	(0.062052769945673714+0.22186296085349355j)
          3.02734375	(0.049486877097795756+0.18717037988563345j)
          3.33984375	(0.03324394478031323+0.14276869719736898j)
           3.5546875	(0.02459772664208082+0.11874953429217572j)
           3.7109375	(0.019935092213270195+0.1038181441616206j)
            3.828125	(0.016540420217463186+0.09449306257298883j)
          4.04296875	(0.01087345945553217+0.08053788417297447j)
              4.0625	(0.010399899418648592+0.07942662784274554j)
           4.2578125	(0.007671187020257486+0.07042617851977437j)
             4.53125	(0.007373630551733734+0.06269290786461106j)
          4.62890625	(0.007348537027716234+0.060901301904258104j)
          4.74609375	(0.006964729071979481+0.059710131323461035j)
