x	u0	u1
                  -5	(0.007084716589669471+0.05865494533731486j)	(0.006757342193227878+0.05848950224471916j)
         -4.98046875	(0.007090462379542917+0.05865371303682787j)	(0.006784173436621632+0.05852694474751852j)
          -4.9609375	(0.00704144092352621+0.05863395943825189j)	(0.006819475246154116+0.0586006628336353j)
         -4.94140625	(0.0069774707640144484+0.05866632470615474j)	(0.006874965148787826+0.058691889763101024j)
           -4.921875	(0.006933704145861697+0.0587458196788746j)	(0.006882451874145934+0.058786470775102906j)
         -4.90234375	(0.006904820583818028+0.05882379085773959j)	(0.006858959042971735+0.05888959042177022j)
          -4.8828125	(0.0068910576674630075+0.05892586551613199j)	(0.006847222697883737+0.059017789834165946j)
         -4.86328125	(0.006876456420324306+0.05907457740515509j)	(0.006845482429655769+0.05916082031606362j)
            -4.84375	(0.006833421780675364+0.05922493204655199j)	(0.006844169017804047+0.05923882926283208j)
         -4.82421875	(0.00681533557650793+0.05933525980348908j)	(0.006855689963395362+0.0593434135056089j)
          -4.8046875	(0.006837625322978935+0.059451692725610794j)	(0.006866803103960928+0.059480531823526306j)
         -4.78515625	(0.006896252948150439+0.05953756281328193j)	(0.006885178027610461+0.05956645191673671j)
           -4.765625	(0.006937936959100721+0.05960574103140859j)	(0.006893763449526413+0.05964454354753557j)
         -4.74609375	(0.006964729071980202+0.05971013132346226j)	(0.0069330654087733645+0.0597528724925358j)
          -4.7265625	(0.007013358526855695+0.059854067343401374j)	(0.0069374908921118195+0.059878867930683866j)
         -4.70703125	(0.007069227930995847+0.059997015334309456j)	(0.006898430962682833+0.06003410021314892j)
             -4.6875	(0.007143294141506051+0.06015578999251425j)	(0.0068583382306973695+0.060200013888804804j)
         -4.66796875	(0.007256573283468515+0.060376468903228564j)	(0.006840045454127086+0.060397667851471604j)
          -4.6484375	(0.007306422845567373+0.06063597062972792j)	(0.006889125327878998+0.06062810125413459j)
         -4.62890625	(0.007348537027717428+0.06090130190425891j)	(0.006973983170739939+0.060900604358020305j)
           -4.609375	(0.007338772360640844+0.061181084266395735j)	(0.007074277322913103+0.061175783316441745j)
         -4.58984375	(0.007311257439743479+0.06152034245594745j)	(0.007147579230261325+0.06150175934976543j)
          -4.5703125	(0.007323446915721177+0.06190096195213973j)	(0.007187801637663305+0.06187355727682342j)
         -4.55078125	(0.007349688857417935+0.062293869622111836j)	(0.007237686951111377+0.06227201001527105j)
            -4.53125	(0.007373630551734789+0.06269290786461118j)	(0.007308481221054652+0.0626870500974184j)
         -4.51171875	(0.00743277308777357+0.06312372558025325j)	(0.007308151075000491+0.06310177140850701j)
          -4.4921875	(0.007496612471619479+0.06360930159242037j)	(0.007309720067243952+0.06352216647005354j)
         -4.47265625	(0.007511438553312488+0.06410653318095391j)	(0.007340524827357475+0.06398697360310962j)
           -4.453125	(0.00752053329078628+0.0645851913855485j)	(0.007320623829338957+0.0644493372319207j)
